technical_knowledge,problem_solving,logical_thinking,programming_coding,communication,job_readiness
8.73,8.19,9.05,8.76,8.39,Highly Job Ready
3.63,2.4,4.77,2.74,7.03,Not Ready
7.07,6.94,7.99,7.2,6.53,Job Ready
4.67,5.58,5.98,5.13,7.16,Needs Improvement
8.76,8.68,7.29,6.91,8.54,Job Ready
7.01,8.75,6.45,6.5,8.67,Job Ready
6.85,6.08,6.05,5.09,5.69,Needs Improvement
8.89,8.07,7.78,9.21,9.24,Highly Job Ready
4.64,1.99,3.72,2.45,3.2,Not Ready
7.8,7.37,7.27,8.24,6.8,Job Ready
4.35,1.79,4.87,4.32,2.52,Not Ready
8.4,8.12,7.07,7.94,7.37,Job Ready
7.36,7.44,8.09,7.63,7.69,Job Ready
5.11,6.01,4.59,5.19,5.16,Needs Improvement
4.8,3.15,3.09,2.43,2.58,Not Ready
4.22,4.44,4.0,4.13,5.49,Not Ready
5.1,6.47,8.5,5.44,5.87,Needs Improvement
2.08,4.6,6.16,4.0,3.41,Not Ready
9.09,8.74,8.96,8.85,8.69,Highly Job Ready
9.17,8.83,9.72,7.88,10.0,Highly Job Ready
5.56,4.34,4.4,5.25,5.79,Needs Improvement
9.25,8.71,7.59,9.24,8.43,Highly Job Ready
7.86,8.76,9.6,8.0,8.64,Highly Job Ready
5.9,7.82,8.11,7.08,6.27,Job Ready
7.94,9.23,9.31,9.82,9.63,Highly Job Ready
4.88,1.69,3.41,1.51,2.08,Not Ready
7.12,7.79,8.72,7.67,7.69,Job Ready
5.35,5.16,7.2,5.24,6.52,Needs Improvement
7.04,7.07,6.29,5.37,5.57,Needs Improvement
3.32,3.1,3.64,5.03,3.98,Not Ready
5.62,8.68,5.58,6.04,5.42,Needs Improvement
3.19,4.94,5.75,5.46,6.03,Needs Improvement
4.4,6.4,5.06,8.71,4.77,Needs Improvement
6.15,4.93,6.09,4.75,6.46,Needs Improvement
7.03,7.92,6.18,7.3,7.5,Job Ready
2.61,3.7,4.58,1.06,4.99,Not Ready
9.04,6.92,8.17,9.52,9.45,Highly Job Ready
7.98,7.57,7.03,7.58,7.28,Job Ready
8.66,6.09,5.92,6.6,7.54,Job Ready
5.57,5.47,3.37,4.23,3.08,Not Ready
3.29,3.84,4.11,3.09,4.34,Not Ready
8.8,8.29,8.47,8.08,9.14,Highly Job Ready
3.08,4.69,3.76,5.8,3.25,Not Ready
6.65,6.56,6.06,4.52,5.5,Needs Improvement
8.81,7.25,8.68,8.31,9.4,Highly Job Ready
5.19,6.5,4.85,6.14,6.51,Needs Improvement
6.79,4.98,4.26,6.38,6.4,Needs Improvement
4.78,6.2,5.82,7.13,5.81,Needs Improvement
4.22,4.77,3.14,4.74,5.03,Not Ready
8.49,8.88,9.29,7.46,8.46,Highly Job Ready
8.29,9.39,8.4,8.23,8.45,Highly Job Ready
2.89,3.83,4.46,4.51,5.58,Not Ready
6.48,6.9,6.48,7.21,7.39,Job Ready
3.62,5.47,3.28,5.1,3.06,Not Ready
5.82,3.24,6.98,5.93,5.02,Needs Improvement
8.49,8.66,9.17,8.49,8.45,Highly Job Ready
8.56,7.03,7.32,7.94,7.32,Job Ready
8.65,8.86,8.93,9.54,8.86,Highly Job Ready
8.68,7.47,7.79,7.17,7.75,Job Ready
1.59,4.35,3.8,3.85,4.9,Not Ready
7.37,6.93,7.69,8.45,7.85,Job Ready
4.78,4.16,5.04,4.81,6.35,Needs Improvement
7.68,9.26,9.47,7.22,8.26,Highly Job Ready
6.7,5.94,7.27,8.4,7.44,Job Ready
8.92,8.77,9.31,8.67,7.85,Highly Job Ready
8.8,9.33,9.27,8.69,8.91,Highly Job Ready
5.17,6.04,4.21,6.46,4.89,Needs Improvement
9.07,8.4,8.27,8.57,8.48,Highly Job Ready
3.45,2.93,2.61,2.37,2.78,Not Ready
5.44,8.22,7.39,6.67,8.3,Job Ready
7.66,6.84,7.82,8.88,7.7,Job Ready
0.3,3.09,4.98,3.44,2.11,Not Ready
5.71,7.78,7.75,8.97,5.95,Job Ready
8.04,8.24,6.77,7.8,6.74,Job Ready
4.91,4.94,6.24,5.73,4.01,Needs Improvement
4.46,3.85,4.68,5.15,4.02,Not Ready
8.5,9.15,8.08,7.92,9.29,Highly Job Ready
6.0,6.94,6.25,5.86,7.21,Needs Improvement
3.12,3.81,4.81,2.08,2.29,Not Ready
7.91,8.63,9.5,8.51,8.77,Highly Job Ready
1.43,3.12,4.48,1.98,5.5,Not Ready
7.41,5.12,5.15,5.68,6.19,Needs Improvement
6.18,7.11,6.66,7.05,6.23,Job Ready
8.08,10.0,8.1,8.76,9.03,Highly Job Ready
9.01,9.28,8.43,8.07,9.05,Highly Job Ready
7.88,7.82,6.13,6.56,7.13,Job Ready
9.28,7.03,8.51,9.73,8.8,Highly Job Ready
1.55,4.61,1.89,4.16,2.78,Not Ready
4.6,4.09,4.55,3.79,4.39,Not Ready
8.61,8.52,8.95,9.07,8.93,Highly Job Ready
8.97,8.68,8.68,8.65,8.07,Highly Job Ready
8.58,8.71,9.16,8.5,8.63,Highly Job Ready
2.37,3.57,3.93,6.61,2.22,Not Ready
2.87,4.81,2.22,4.18,4.01,Not Ready
8.26,8.59,8.65,9.29,8.04,Highly Job Ready
9.1,8.23,8.56,9.54,9.4,Highly Job Ready
6.12,5.18,7.36,4.97,5.48,Needs Improvement
7.76,7.87,5.03,7.24,9.07,Job Ready
9.43,8.01,9.0,8.9,9.42,Highly Job Ready
7.28,8.5,9.35,8.58,9.61,Highly Job Ready
5.46,6.56,5.94,7.02,5.52,Needs Improvement
5.92,5.41,4.75,5.48,6.12,Needs Improvement
3.0,2.72,4.88,3.38,3.95,Not Ready
8.35,8.9,7.29,6.2,6.94,Job Ready
6.05,2.39,2.73,5.51,2.58,Not Ready
6.04,5.86,5.36,4.84,4.6,Needs Improvement
